"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 01:34:18.033,44.842,-25.032,1841.554200
1 Jun 2022 01:35:18.000,55.967,-27.025,1565.519382
1 Jun 2022 01:36:18.000,71.768,-29.278,1369.730425
1 Jun 2022 01:37:18.000,91.803,-30.448,1292.649503
1 Jun 2022 01:38:18.000,112.125,-29.484,1355.243892
1 Jun 2022 01:39:18.000,128.488,-27.265,1540.546299
1 Jun 2022 01:40:18.000,140.104,-25.204,1810.807129
1 Jun 2022 01:40:20.226,140.458,-25.140,1822.002865
1 Jun 2022 03:09:21.100,329.753,-25.022,1843.430803
1 Jun 2022 03:10:21.000,320.166,-27.497,1517.630251
1 Jun 2022 03:11:21.000,305.049,-31.023,1258.977697
1 Jun 2022 03:12:21.000,282.655,-33.981,1117.507809
1 Jun 2022 03:13:21.000,256.968,-33.481,1138.372544
1 Jun 2022 03:14:21.000,236.338,-30.109,1313.707001
1 Jun 2022 03:15:21.000,222.836,-26.777,1592.647482
1 Jun 2022 03:16:02.622,216.496,-25.139,1822.266298
1 Jun 2022 13:53:06.130,343.592,-25.155,1819.328842
1 Jun 2022 13:54:06.000,339.248,-28.532,1426.338136
1 Jun 2022 13:55:06.000,330.844,-35.380,1064.283900
1 Jun 2022 13:56:06.000,310.287,-47.708,782.213625
1 Jun 2022 13:57:06.000,258.308,-55.674,688.618689
1 Jun 2022 13:58:06.000,215.814,-43.709,848.709544
1 Jun 2022 13:59:06.000,200.274,-32.955,1161.508396
1 Jun 2022 14:00:06.000,193.411,-27.315,1535.513564
1 Jun 2022 14:00:52.619,190.337,-25.018,1844.189654
1 Jun 2022 15:32:04.794,78.726,-25.091,1830.890275
1 Jun 2022 15:33:04.000,92.459,-25.150,1820.301550
1 Jun 2022 15:33:20.963,96.345,-25.068,1835.002680
2 Jun 2022 01:31:01.874,45.226,-25.033,1841.511207
2 Jun 2022 01:32:01.000,56.230,-26.974,1571.027381
2 Jun 2022 01:33:01.000,71.986,-29.183,1376.611208
2 Jun 2022 01:34:01.000,91.892,-30.320,1300.513416
2 Jun 2022 01:35:01.000,112.060,-29.369,1363.247993
2 Jun 2022 01:36:01.000,128.332,-27.193,1547.991396
2 Jun 2022 01:37:01.000,139.921,-25.166,1817.448535
2 Jun 2022 01:37:01.924,140.068,-25.140,1822.073691
2 Jun 2022 03:06:03.435,330.087,-25.022,1843.451370
2 Jun 2022 03:07:03.000,320.641,-27.495,1517.758363
2 Jun 2022 03:08:03.000,305.625,-31.070,1256.360757
2 Jun 2022 03:09:03.000,283.210,-34.132,1111.419443
2 Jun 2022 03:10:03.000,257.276,-33.695,1129.314267
2 Jun 2022 03:11:03.000,236.397,-30.276,1303.213405
2 Jun 2022 03:12:03.000,222.775,-26.874,1581.844093
2 Jun 2022 03:12:46.467,216.160,-25.139,1822.200492
2 Jun 2022 13:49:49.424,343.295,-25.155,1819.358274
2 Jun 2022 13:50:49.000,338.888,-28.501,1428.868020
2 Jun 2022 13:51:49.000,330.355,-35.286,1067.637737
2 Jun 2022 13:52:49.000,309.679,-47.403,786.727736
2 Jun 2022 13:53:49.000,258.501,-55.137,693.699950
2 Jun 2022 13:54:49.000,216.419,-43.492,852.810793
2 Jun 2022 13:55:49.000,200.724,-32.889,1164.495944
2 Jun 2022 13:56:49.000,193.747,-27.293,1537.771439
2 Jun 2022 13:57:35.338,190.631,-25.018,1844.184947
2 Jun 2022 15:28:40.382,77.062,-25.093,1830.481819
2 Jun 2022 15:29:40.000,90.933,-25.217,1808.452903
2 Jun 2022 15:30:10.740,98.004,-25.066,1835.367748
3 Jun 2022 01:27:45.730,45.613,-25.033,1841.467625
3 Jun 2022 01:28:45.000,56.713,-26.959,1572.580032
3 Jun 2022 01:29:45.000,72.504,-29.120,1381.195722
3 Jun 2022 01:30:45.000,92.326,-30.195,1308.301322
3 Jun 2022 01:31:45.000,112.305,-29.227,1373.432972
3 Jun 2022 01:32:45.000,128.407,-27.083,1559.345631
3 Jun 2022 01:33:43.605,139.676,-25.139,1822.145117
3 Jun 2022 03:02:45.779,330.421,-25.022,1843.471594
3 Jun 2022 03:03:45.000,321.117,-27.493,1517.967681
3 Jun 2022 03:04:45.000,306.203,-31.115,1253.840573
3 Jun 2022 03:05:45.000,283.772,-34.283,1105.417347
3 Jun 2022 03:06:45.000,257.591,-33.912,1120.304205
3 Jun 2022 03:07:45.000,236.457,-30.446,1292.742199
3 Jun 2022 03:08:45.000,222.712,-26.973,1571.056410
3 Jun 2022 03:09:30.301,215.824,-25.139,1822.135076
3 Jun 2022 13:46:32.727,342.998,-25.155,1819.388182
3 Jun 2022 13:47:32.000,338.529,-28.469,1431.453118
3 Jun 2022 13:48:32.000,329.870,-35.191,1071.057620
3 Jun 2022 13:49:32.000,309.085,-47.098,791.314908
3 Jun 2022 13:50:32.000,258.687,-54.609,698.850244
3 Jun 2022 13:51:32.000,217.015,-43.276,856.973653
3 Jun 2022 13:52:32.000,201.172,-32.822,1167.531414
3 Jun 2022 13:53:32.000,194.082,-27.270,1540.064870
3 Jun 2022 13:54:18.052,190.925,-25.018,1844.180985
3 Jun 2022 15:25:16.974,75.625,-25.095,1830.129061
3 Jun 2022 15:26:16.000,89.384,-25.280,1797.807282
3 Jun 2022 15:26:59.510,99.436,-25.064,1835.673664
4 Jun 2022 01:24:29.600,46.002,-25.033,1841.424036
4 Jun 2022 01:25:29.000,57.195,-26.944,1574.225935
4 Jun 2022 01:26:29.000,73.018,-29.056,1385.874563
4 Jun 2022 01:27:29.000,92.754,-30.071,1316.159917
4 Jun 2022 01:28:29.000,112.545,-29.086,1383.655030
4 Jun 2022 01:29:29.000,128.481,-26.977,1570.716977
4 Jun 2022 01:30:25.268,139.282,-25.139,1822.213001
4 Jun 2022 02:59:28.131,330.753,-25.022,1843.491480
4 Jun 2022 03:00:28.000,321.398,-27.543,1513.167236
4 Jun 2022 03:01:28.000,306.476,-31.224,1247.781305
4 Jun 2022 03:02:28.000,283.910,-34.465,1098.271523
4 Jun 2022 03:03:28.000,257.493,-34.092,1112.999891
4 Jun 2022 03:04:28.000,236.230,-30.555,1286.208883
4 Jun 2022 03:05:28.000,222.468,-27.025,1565.524745
4 Jun 2022 03:06:14.125,215.490,-25.140,1822.070036
4 Jun 2022 13:43:16.036,342.700,-25.155,1819.418565
4 Jun 2022 13:44:16.000,338.070,-28.514,1427.756374
4 Jun 2022 13:45:16.000,329.179,-35.247,1069.031410
4 Jun 2022 13:46:16.000,307.951,-47.018,792.548168
4 Jun 2022 13:47:16.000,257.909,-54.022,704.745670
4 Jun 2022 13:48:16.000,217.192,-42.845,865.452212
4 Jun 2022 13:49:16.000,201.450,-32.630,1176.454386
4 Jun 2022 13:50:16.000,194.331,-27.184,1548.865618
4 Jun 2022 13:51:00.762,191.220,-25.018,1844.178797
4 Jun 2022 15:21:54.247,74.340,-25.097,1829.814088
4 Jun 2022 15:22:54.000,88.288,-25.334,1788.617930
4 Jun 2022 15:23:47.600,100.714,-25.063,1835.941775
5 Jun 2022 01:21:13.484,46.393,-25.033,1841.379086
5 Jun 2022 01:22:13.000,57.676,-26.928,1575.964899
5 Jun 2022 01:23:13.000,73.528,-28.992,1390.646844
5 Jun 2022 01:24:13.000,93.176,-29.948,1324.087955
5 Jun 2022 01:25:13.000,112.781,-28.949,1393.913315
5 Jun 2022 01:26:13.000,128.554,-26.872,1582.104987
5 Jun 2022 01:27:06.914,138.885,-25.139,1822.280637
5 Jun 2022 02:56:10.490,331.084,-25.022,1843.511031
5 Jun 2022 02:57:10.000,321.875,-27.540,1513.502132
5 Jun 2022 02:58:10.000,307.061,-31.267,1245.403066
5 Jun 2022 02:59:10.000,284.485,-34.618,1092.386458
5 Jun 2022 03:00:10.000,257.815,-34.317,1104.050645
5 Jun 2022 03:01:10.000,236.288,-30.731,1275.770952
5 Jun 2022 03:02:10.000,222.402,-27.127,1554.769088
5 Jun 2022 03:02:57.938,215.156,-25.140,1822.005374
5 Jun 2022 13:39:59.354,342.402,-25.154,1819.449425
5 Jun 2022 13:40:59.000,337.714,-28.481,1430.462697
5 Jun 2022 13:41:59.000,328.701,-35.149,1072.599261
5 Jun 2022 13:42:59.000,307.387,-46.710,797.297203
5 Jun 2022 13:43:59.000,258.101,-53.513,710.023420
5 Jun 2022 13:44:59.000,217.768,-42.633,869.713717
5 Jun 2022 13:45:59.000,201.889,-32.563,1179.568350
5 Jun 2022 13:46:59.000,194.663,-27.161,1551.219251
5 Jun 2022 13:47:43.467,191.514,-25.018,1844.176285
5 Jun 2022 15:18:32.021,73.166,-25.098,1829.526702
5 Jun 2022 15:19:32.000,87.178,-25.386,1780.039141
5 Jun 2022 15:20:32.000,101.170,-25.091,1830.765648
5 Jun 2022 15:20:35.194,101.881,-25.061,1836.185616
6 Jun 2022 01:17:57.383,46.787,-25.034,1841.333476
6 Jun 2022 01:18:57.000,58.156,-26.911,1577.796652
6 Jun 2022 01:19:57.000,74.034,-28.928,1395.511617
6 Jun 2022 01:20:57.000,93.592,-29.826,1332.084177
6 Jun 2022 01:21:57.000,113.013,-28.813,1404.206985
6 Jun 2022 01:22:57.000,128.626,-26.770,1593.509235
6 Jun 2022 01:23:48.543,138.485,-25.138,1822.350957
6 Jun 2022 02:52:52.858,331.414,-25.022,1843.530251
6 Jun 2022 02:53:52.000,322.351,-27.535,1513.918562
6 Jun 2022 02:54:52.000,307.648,-31.309,1243.123491
6 Jun 2022 02:55:52.000,285.069,-34.771,1086.591416
6 Jun 2022 02:56:52.000,258.143,-34.546,1095.152422
6 Jun 2022 02:57:52.000,236.348,-30.911,1265.356637
6 Jun 2022 02:58:52.000,222.334,-27.231,1544.029854
6 Jun 2022 02:59:41.744,214.824,-25.140,1821.956377
6 Jun 2022 13:36:42.679,342.104,-25.154,1819.480762
6 Jun 2022 13:37:42.000,337.358,-28.447,1433.223721
6 Jun 2022 13:38:42.000,328.229,-35.049,1076.231610
6 Jun 2022 13:39:42.000,306.838,-46.403,802.115628
6 Jun 2022 13:40:42.000,258.288,-53.011,715.365599
6 Jun 2022 13:41:42.000,218.335,-42.421,874.033805
6 Jun 2022 13:42:42.000,202.326,-32.497,1182.728636
6 Jun 2022 13:43:42.000,194.993,-27.138,1553.607506
6 Jun 2022 13:44:26.167,191.809,-25.018,1844.173449
6 Jun 2022 15:15:10.185,72.079,-25.100,1829.260564
6 Jun 2022 15:16:10.000,86.056,-25.435,1772.081325
6 Jun 2022 15:17:10.000,100.187,-25.178,1815.296011
6 Jun 2022 15:17:22.400,102.962,-25.060,1836.407286
7 Jun 2022 01:14:41.300,47.183,-25.034,1841.276161
7 Jun 2022 01:15:41.000,58.635,-26.894,1579.720853
7 Jun 2022 01:16:41.000,74.537,-28.862,1400.467889
7 Jun 2022 01:17:41.000,94.002,-29.705,1340.147324
7 Jun 2022 01:18:41.000,113.242,-28.681,1414.535222
7 Jun 2022 01:19:41.000,128.697,-26.669,1604.929329
7 Jun 2022 01:20:30.155,138.083,-25.138,1822.423731
7 Jun 2022 02:49:35.232,331.743,-25.022,1843.549146
7 Jun 2022 02:50:35.000,322.637,-27.584,1509.232888
7 Jun 2022 02:51:35.000,307.931,-31.419,1237.178359
7 Jun 2022 02:52:35.000,285.220,-34.960,1079.523554
7 Jun 2022 02:53:35.000,258.045,-34.736,1087.890867
7 Jun 2022 02:54:35.000,236.112,-31.025,1258.872428
7 Jun 2022 02:55:35.000,222.083,-27.285,1538.563602
7 Jun 2022 02:56:25.537,214.492,-25.141,1821.894408
7 Jun 2022 13:33:26.012,341.806,-25.154,1819.512580
7 Jun 2022 13:34:26.000,336.898,-28.490,1429.745739
7 Jun 2022 13:35:26.000,327.539,-35.097,1074.490746
7 Jun 2022 13:36:26.000,305.744,-46.304,803.686751
7 Jun 2022 13:37:26.000,257.568,-52.452,721.503682
7 Jun 2022 13:38:26.000,218.486,-42.008,882.641893
7 Jun 2022 13:39:26.000,202.589,-32.309,1191.742989
7 Jun 2022 13:40:26.000,195.234,-27.054,1562.478591
7 Jun 2022 13:41:08.861,192.105,-25.018,1844.170275
