"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 01:34:18.033,1 Jun 2022 01:40:20.226,362.194
2,1 Jun 2022 03:09:21.100,1 Jun 2022 03:16:02.622,401.522
3,1 Jun 2022 13:53:06.130,1 Jun 2022 14:00:52.619,466.490
4,1 Jun 2022 15:32:04.794,1 Jun 2022 15:33:20.963,76.169
5,2 Jun 2022 01:31:01.874,2 Jun 2022 01:37:01.924,360.049
6,2 Jun 2022 03:06:03.435,2 Jun 2022 03:12:46.467,403.031
7,2 Jun 2022 13:49:49.424,2 Jun 2022 13:57:35.338,465.914
8,2 Jun 2022 15:28:40.382,2 Jun 2022 15:30:10.740,90.358
9,3 Jun 2022 01:27:45.730,3 Jun 2022 01:33:43.605,357.875
10,3 Jun 2022 03:02:45.779,3 Jun 2022 03:09:30.301,404.522
11,3 Jun 2022 13:46:32.727,3 Jun 2022 13:54:18.052,465.326
12,3 Jun 2022 15:25:16.974,3 Jun 2022 15:26:59.510,102.535
13,4 Jun 2022 01:24:29.600,4 Jun 2022 01:30:25.268,355.668
14,4 Jun 2022 02:59:28.131,4 Jun 2022 03:06:14.125,405.994
15,4 Jun 2022 13:43:16.036,4 Jun 2022 13:51:00.762,464.726
16,4 Jun 2022 15:21:54.247,4 Jun 2022 15:23:47.600,113.353
17,5 Jun 2022 01:21:13.484,5 Jun 2022 01:27:06.914,353.430
18,5 Jun 2022 02:56:10.490,5 Jun 2022 03:02:57.938,407.448
19,5 Jun 2022 13:39:59.354,5 Jun 2022 13:47:43.467,464.113
20,5 Jun 2022 15:18:32.021,5 Jun 2022 15:20:35.194,123.173
21,6 Jun 2022 01:17:57.383,6 Jun 2022 01:23:48.543,351.160
22,6 Jun 2022 02:52:52.858,6 Jun 2022 02:59:41.744,408.886
23,6 Jun 2022 13:36:42.679,6 Jun 2022 13:44:26.167,463.488
24,6 Jun 2022 15:15:10.185,6 Jun 2022 15:17:22.400,132.215
25,7 Jun 2022 01:14:41.300,7 Jun 2022 01:20:30.155,348.855
26,7 Jun 2022 02:49:35.232,7 Jun 2022 02:56:25.537,410.304
27,7 Jun 2022 13:33:26.012,7 Jun 2022 13:41:08.861,462.850
28,7 Jun 2022 15:11:48.665,7 Jun 2022 15:14:09.295,140.630
29,8 Jun 2022 01:11:25.228,8 Jun 2022 01:17:11.748,346.520
