"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 05:58:53.562,313.974,-25.243,1839.951912
1 Jun 2022 05:59:53.000,302.381,-27.194,1573.279594
1 Jun 2022 06:00:53.000,286.073,-29.269,1390.683041
1 Jun 2022 06:01:53.000,266.043,-30.116,1332.200316
1 Jun 2022 06:02:53.000,246.414,-28.964,1413.642620
1 Jun 2022 06:03:53.000,230.889,-26.828,1613.717825
1 Jun 2022 06:04:45.763,220.999,-25.148,1857.556232
1 Jun 2022 07:33:02.701,13.393,-25.280,1833.476661
1 Jun 2022 07:34:02.000,18.311,-28.487,1451.853541
1 Jun 2022 07:35:02.000,27.576,-34.802,1099.658210
1 Jun 2022 07:36:02.000,48.415,-45.401,828.438581
1 Jun 2022 07:37:02.000,93.755,-51.972,735.544059
1 Jun 2022 07:38:02.000,133.487,-42.671,879.611078
1 Jun 2022 07:39:02.000,150.467,-32.980,1176.040382
1 Jun 2022 07:40:02.000,158.344,-27.535,1538.230435
1 Jun 2022 07:40:51.402,162.086,-25.144,1858.216403
1 Jun 2022 19:03:42.197,15.279,-25.144,1858.296174
1 Jun 2022 19:04:42.000,19.276,-28.311,1466.775206
1 Jun 2022 19:05:42.000,26.849,-34.729,1102.441887
1 Jun 2022 19:06:42.000,44.853,-46.584,808.906416
1 Jun 2022 19:07:42.000,93.359,-56.812,686.288984
1 Jun 2022 19:08:42.000,140.761,-46.122,816.358900
1 Jun 2022 19:09:42.000,158.216,-34.444,1113.603024
1 Jun 2022 19:10:42.000,165.633,-28.161,1479.795934
1 Jun 2022 19:11:35.925,169.280,-25.280,1833.309683
1 Jun 2022 20:39:56.838,315.637,-25.149,1857.333908
1 Jun 2022 20:40:56.000,303.790,-26.884,1607.239256
1 Jun 2022 20:41:56.000,287.627,-28.595,1442.901865
1 Jun 2022 20:42:56.000,268.534,-29.130,1401.021733
1 Jun 2022 20:43:56.000,250.218,-28.023,1492.052630
1 Jun 2022 20:44:56.000,235.651,-26.180,1694.301792
1 Jun 2022 20:45:29.119,229.394,-25.239,1840.800620
2 Jun 2022 05:55:37.562,313.679,-25.243,1840.027292
2 Jun 2022 05:56:37.000,302.037,-27.177,1575.071271
2 Jun 2022 05:57:37.000,285.717,-29.215,1394.657360
2 Jun 2022 05:58:37.000,265.763,-30.022,1338.376609
2 Jun 2022 05:59:37.000,246.270,-28.865,1421.364617
2 Jun 2022 06:00:37.000,230.858,-26.755,1622.136163
2 Jun 2022 06:01:28.063,221.294,-25.148,1857.535356
2 Jun 2022 07:29:45.293,13.152,-25.280,1833.460103
2 Jun 2022 07:30:45.000,18.043,-28.525,1448.689788
2 Jun 2022 07:31:45.000,27.236,-34.902,1095.859941
2 Jun 2022 07:32:45.000,48.073,-45.666,823.942768
2 Jun 2022 07:33:45.000,93.989,-52.355,731.148427
2 Jun 2022 07:34:45.000,133.990,-42.822,876.538487
2 Jun 2022 07:35:45.000,150.847,-33.019,1174.220170
2 Jun 2022 07:36:45.000,158.629,-27.545,1537.223706
2 Jun 2022 07:37:34.488,162.324,-25.144,1858.223497
2 Jun 2022 19:00:25.254,15.515,-25.144,1858.288511
2 Jun 2022 19:01:25.000,19.576,-28.301,1467.633669
2 Jun 2022 19:02:25.000,27.264,-34.687,1104.073700
2 Jun 2022 19:03:25.000,45.435,-46.406,811.757941
2 Jun 2022 19:04:25.000,93.494,-56.362,690.341470
2 Jun 2022 19:05:25.000,140.321,-45.883,820.312518
2 Jun 2022 19:06:25.000,157.857,-34.361,1116.873958
2 Jun 2022 19:07:25.000,165.361,-28.130,1482.514260
2 Jun 2022 19:08:18.572,169.042,-25.280,1833.322335
2 Jun 2022 20:36:39.062,315.946,-25.149,1857.353691
2 Jun 2022 20:37:39.000,303.963,-26.925,1602.613910
2 Jun 2022 20:38:39.000,287.755,-28.663,1437.370960
2 Jun 2022 20:39:39.000,268.569,-29.212,1394.945843
