"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 05:58:53.562,1 Jun 2022 06:04:45.763,352.201
2,1 Jun 2022 07:33:02.701,1 Jun 2022 07:40:51.402,468.701
3,1 Jun 2022 19:03:42.197,1 Jun 2022 19:11:35.925,473.728
4,1 Jun 2022 20:39:56.838,1 Jun 2022 20:45:29.119,332.280
5,2 Jun 2022 05:55:37.562,2 Jun 2022 06:01:28.063,350.502
6,2 Jun 2022 07:29:45.293,2 Jun 2022 07:37:34.488,469.195
7,2 Jun 2022 19:00:25.254,2 Jun 2022 19:08:18.572,473.318
8,2 Jun 2022 20:36:39.062,2 Jun 2022 20:42:13.223,334.161
9,3 Jun 2022 05:52:21.572,3 Jun 2022 05:58:10.357,348.785
10,3 Jun 2022 07:26:27.890,3 Jun 2022 07:34:17.571,469.680
11,3 Jun 2022 18:57:08.314,3 Jun 2022 19:05:01.215,472.901
12,3 Jun 2022 20:33:21.293,3 Jun 2022 20:38:57.316,336.023
13,4 Jun 2022 05:49:05.593,4 Jun 2022 05:54:52.644,347.050
14,4 Jun 2022 07:23:10.494,4 Jun 2022 07:31:00.651,470.157
15,4 Jun 2022 18:53:51.376,4 Jun 2022 19:01:43.851,472.475
16,4 Jun 2022 20:30:03.533,4 Jun 2022 20:35:41.399,337.866
17,5 Jun 2022 05:45:49.623,5 Jun 2022 05:51:34.923,345.300
18,5 Jun 2022 07:19:53.102,5 Jun 2022 07:27:43.728,470.625
19,5 Jun 2022 18:50:34.442,5 Jun 2022 18:58:26.483,472.041
20,5 Jun 2022 20:26:45.777,5 Jun 2022 20:32:25.472,339.695
21,6 Jun 2022 05:42:33.662,6 Jun 2022 05:48:17.197,343.535
22,6 Jun 2022 07:16:35.717,6 Jun 2022 07:24:26.802,471.085
23,6 Jun 2022 18:47:17.511,6 Jun 2022 18:55:09.109,471.598
24,6 Jun 2022 20:23:28.033,6 Jun 2022 20:29:09.534,341.501
25,7 Jun 2022 05:39:17.711,7 Jun 2022 05:44:59.459,341.748
26,7 Jun 2022 07:13:18.336,7 Jun 2022 07:21:09.873,471.537
27,7 Jun 2022 18:44:00.582,7 Jun 2022 18:51:51.729,471.147
28,7 Jun 2022 20:20:10.297,7 Jun 2022 20:25:53.585,343.288
29,8 Jun 2022 05:36:01.771,8 Jun 2022 05:41:41.716,339.945
30,8 Jun 2022 07:10:00.962,8 Jun 2022 07:17:52.942,471.980
31,8 Jun 2022 18:40:43.656,8 Jun 2022 18:48:34.344,470.688
32,8 Jun 2022 20:16:52.569,8 Jun 2022 20:22:37.627,345.058
33,9 Jun 2022 05:32:45.841,9 Jun 2022 05:38:23.965,338.124
34,9 Jun 2022 07:06:43.593,9 Jun 2022 07:14:36.008,472.415
35,9 Jun 2022 18:37:26.733,9 Jun 2022 18:45:16.954,470.221
36,9 Jun 2022 20:13:34.848,9 Jun 2022 20:19:21.658,346.811
37,10 Jun 2022 05:29:29.927,10 Jun 2022 05:35:06.206,336.279
38,10 Jun 2022 07:03:26.229,10 Jun 2022 07:11:19.071,472.842
