"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 01:34:30.194,317.215,-25.050,1844.715524
1 Jun 2022 01:35:30.000,305.264,-26.863,1587.559787
1 Jun 2022 01:36:30.000,288.951,-28.669,1419.057702
1 Jun 2022 01:37:30.000,269.509,-29.263,1374.233940
1 Jun 2022 01:38:30.000,250.820,-28.119,1464.570325
1 Jun 2022 01:39:30.000,236.033,-26.195,1667.815136
1 Jun 2022 01:40:05.680,229.281,-25.145,1827.357619
1 Jun 2022 12:16:37.723,350.978,-25.178,1821.388439
1 Jun 2022 12:17:37.000,349.055,-28.642,1421.194397
1 Jun 2022 12:18:37.000,345.159,-36.173,1039.314844
1 Jun 2022 12:19:37.000,333.898,-52.573,721.607085
1 Jun 2022 12:20:37.000,261.659,-72.856,586.332028
1 Jun 2022 12:21:37.000,198.562,-50.851,741.665448
1 Jun 2022 12:22:37.000,188.400,-35.369,1067.037314
1 Jun 2022 12:23:37.000,184.718,-28.273,1451.418692
1 Jun 2022 12:24:35.421,182.869,-25.040,1846.551448
1 Jun 2022 23:55:23.262,35.184,-25.049,1844.815322
1 Jun 2022 23:56:23.000,44.322,-27.522,1519.304248
1 Jun 2022 23:57:23.000,58.866,-31.141,1255.352338
1 Jun 2022 23:58:23.000,80.871,-34.420,1102.504259
1 Jun 2022 23:59:23.000,107.009,-34.263,1108.687917
2 Jun 2022 00:00:23.000,128.500,-30.852,1271.768624
2 Jun 2022 00:01:23.000,142.593,-27.289,1542.393378
2 Jun 2022 00:02:14.255,150.435,-25.169,1822.972454
2 Jun 2022 01:31:12.118,317.621,-25.049,1844.749479
2 Jun 2022 01:32:12.000,305.716,-26.887,1584.889577
2 Jun 2022 01:33:12.000,289.409,-28.740,1413.502450
2 Jun 2022 01:34:12.000,269.863,-29.381,1365.849908
2 Jun 2022 01:35:12.000,251.002,-28.240,1454.241506
2 Jun 2022 01:36:12.000,236.077,-26.282,1656.617686
2 Jun 2022 01:36:50.025,228.872,-25.145,1827.266839
2 Jun 2022 12:13:20.838,350.678,-25.178,1821.405985
2 Jun 2022 12:14:20.000,348.663,-28.629,1422.246903
2 Jun 2022 12:15:20.000,344.584,-36.128,1040.793018
