"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 01:34:30.194,1 Jun 2022 01:40:05.680,335.486
2,1 Jun 2022 12:16:37.723,1 Jun 2022 12:24:35.421,477.697
3,1 Jun 2022 23:55:23.262,2 Jun 2022 00:02:14.255,410.993
4,2 Jun 2022 01:31:12.118,2 Jun 2022 01:36:50.025,337.907
5,2 Jun 2022 12:13:20.838,2 Jun 2022 12:21:18.260,477.422
6,2 Jun 2022 23:52:06.842,2 Jun 2022 23:58:56.307,409.465
7,3 Jun 2022 01:27:54.058,3 Jun 2022 01:33:34.353,340.295
8,3 Jun 2022 12:10:03.960,3 Jun 2022 12:18:01.092,477.132
9,3 Jun 2022 23:48:50.431,3 Jun 2022 23:55:38.350,407.919
10,4 Jun 2022 01:24:36.013,4 Jun 2022 01:30:18.664,342.651
11,4 Jun 2022 12:06:47.090,4 Jun 2022 12:14:43.920,476.830
12,4 Jun 2022 23:45:34.029,4 Jun 2022 23:52:20.380,406.351
13,5 Jun 2022 01:21:17.982,5 Jun 2022 01:27:02.956,344.974
14,5 Jun 2022 12:03:30.228,5 Jun 2022 12:11:26.743,476.515
15,5 Jun 2022 23:42:17.637,5 Jun 2022 23:49:02.398,404.761
16,6 Jun 2022 01:17:59.963,6 Jun 2022 01:23:47.232,347.269
17,6 Jun 2022 12:00:13.373,6 Jun 2022 12:08:09.561,476.188
18,6 Jun 2022 23:39:01.255,6 Jun 2022 23:45:44.404,403.148
19,7 Jun 2022 01:14:41.960,7 Jun 2022 01:20:31.491,349.531
20,7 Jun 2022 11:56:56.525,7 Jun 2022 12:04:52.374,475.848
21,7 Jun 2022 23:35:44.883,7 Jun 2022 23:42:26.394,401.511
22,8 Jun 2022 01:11:23.972,8 Jun 2022 01:17:15.734,351.763
23,8 Jun 2022 11:53:39.686,8 Jun 2022 12:01:35.181,475.495
24,8 Jun 2022 23:32:28.522,8 Jun 2022 23:39:08.375,399.853
25,9 Jun 2022 01:08:05.996,9 Jun 2022 01:13:59.962,353.965
26,9 Jun 2022 11:50:22.853,9 Jun 2022 11:58:17.981,475.128
27,9 Jun 2022 23:29:12.170,9 Jun 2022 23:35:50.346,398.176
28,10 Jun 2022 01:04:48.035,10 Jun 2022 01:10:44.173,356.139
29,10 Jun 2022 11:47:06.029,10 Jun 2022 11:55:00.778,474.749
30,10 Jun 2022 23:25:55.829,10 Jun 2022 23:32:32.300,396.471
31,11 Jun 2022 01:01:30.086,11 Jun 2022 01:07:28.369,358.283
32,11 Jun 2022 11:43:49.212,11 Jun 2022 11:51:43.575,474.363
33,11 Jun 2022 23:22:39.498,11 Jun 2022 23:29:14.240,394.743
34,12 Jun 2022 00:58:12.149,12 Jun 2022 01:04:12.548,360.398
35,12 Jun 2022 11:40:32.402,12 Jun 2022 11:48:26.361,473.959
36,12 Jun 2022 23:19:23.177,12 Jun 2022 23:25:56.168,392.990
37,13 Jun 2022 00:54:54.223,13 Jun 2022 01:00:56.711,362.488
38,13 Jun 2022 11:37:15.600,13 Jun 2022 11:45:09.143,473.543
39,13 Jun 2022 23:16:06.867,13 Jun 2022 23:22:38.081,391.214
40,14 Jun 2022 00:51:36.311,14 Jun 2022 00:57:40.859,364.549
41,14 Jun 2022 11:33:58.805,14 Jun 2022 11:41:51.921,473.116
42,14 Jun 2022 23:12:50.569,14 Jun 2022 23:19:19.981,389.412
43,15 Jun 2022 00:48:18.411,15 Jun 2022 00:54:24.990,366.579
44,15 Jun 2022 11:30:42.018,15 Jun 2022 11:38:34.692,472.674
45,15 Jun 2022 23:09:34.282,15 Jun 2022 23:16:01.864,387.583
46,16 Jun 2022 00:45:00.522,16 Jun 2022 00:51:09.108,368.586
47,16 Jun 2022 11:27:25.239,16 Jun 2022 11:35:17.459,472.220
