"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 09:52:45.671,1 Jun 2022 10:00:34.503,468.832
2,1 Jun 2022 21:31:20.125,1 Jun 2022 21:39:12.431,472.306
3,2 Jun 2022 09:49:28.294,2 Jun 2022 09:57:17.671,469.377
4,2 Jun 2022 21:28:03.261,2 Jun 2022 21:35:55.102,471.841
5,3 Jun 2022 09:46:10.925,3 Jun 2022 09:54:00.833,469.908
6,3 Jun 2022 21:24:46.402,3 Jun 2022 21:32:37.765,471.363
7,4 Jun 2022 09:42:53.564,4 Jun 2022 09:50:43.990,470.426
8,4 Jun 2022 21:21:29.548,4 Jun 2022 21:29:20.419,470.871
9,5 Jun 2022 09:39:36.212,5 Jun 2022 09:47:27.142,470.930
10,5 Jun 2022 21:18:12.700,5 Jun 2022 21:26:03.066,470.366
11,6 Jun 2022 09:36:18.868,6 Jun 2022 09:44:10.287,471.420
12,6 Jun 2022 21:14:55.858,6 Jun 2022 21:22:45.705,469.847
13,7 Jun 2022 09:33:01.531,7 Jun 2022 09:40:53.428,471.896
14,7 Jun 2022 21:11:39.021,7 Jun 2022 21:19:28.335,469.314
15,8 Jun 2022 09:29:44.203,8 Jun 2022 09:37:36.563,472.359
16,8 Jun 2022 21:08:22.191,8 Jun 2022 21:16:10.957,468.767
17,9 Jun 2022 09:26:26.883,9 Jun 2022 09:34:19.692,472.809
18,9 Jun 2022 21:05:05.365,9 Jun 2022 21:12:53.571,468.206
19,10 Jun 2022 09:23:09.571,10 Jun 2022 09:31:02.818,473.246
20,10 Jun 2022 21:01:48.546,10 Jun 2022 21:09:36.177,467.631
21,10 Jun 2022 22:40:30.790,10 Jun 2022 22:40:41.992,11.202
22,11 Jun 2022 09:19:52.267,11 Jun 2022 09:27:45.935,473.668
23,11 Jun 2022 20:58:31.732,11 Jun 2022 21:06:18.775,467.043
24,11 Jun 2022 22:36:55.082,11 Jun 2022 22:37:44.127,49.046
25,12 Jun 2022 09:16:34.971,12 Jun 2022 09:24:29.049,474.077
26,12 Jun 2022 20:55:14.924,12 Jun 2022 21:03:01.364,466.440
27,12 Jun 2022 22:33:28.631,12 Jun 2022 22:34:37.005,68.374
28,13 Jun 2022 09:13:17.683,13 Jun 2022 09:21:12.159,474.476
29,13 Jun 2022 20:51:58.121,13 Jun 2022 20:59:43.944,465.823
30,13 Jun 2022 22:30:04.396,13 Jun 2022 22:31:27.663,83.267
31,14 Jun 2022 09:10:00.402,14 Jun 2022 09:17:55.262,474.860
32,14 Jun 2022 20:48:41.324,14 Jun 2022 20:56:26.517,465.193
33,14 Jun 2022 22:26:41.330,14 Jun 2022 22:28:17.151,95.820
34,15 Jun 2022 09:06:43.129,15 Jun 2022 09:14:38.354,475.225
35,15 Jun 2022 20:45:24.533,15 Jun 2022 20:53:09.081,464.548
36,15 Jun 2022 22:23:19.020,15 Jun 2022 22:25:05.876,106.857
37,16 Jun 2022 09:03:25.864,16 Jun 2022 09:11:21.448,475.583
38,16 Jun 2022 20:42:07.748,16 Jun 2022 20:49:51.636,463.888
39,16 Jun 2022 22:19:57.249,16 Jun 2022 22:21:54.057,116.808
40,17 Jun 2022 09:00:08.607,17 Jun 2022 09:08:04.535,475.928
41,17 Jun 2022 20:38:50.969,17 Jun 2022 20:46:34.184,463.215
42,17 Jun 2022 22:16:35.893,17 Jun 2022 22:18:41.827,125.934
43,18 Jun 2022 08:56:51.358,18 Jun 2022 09:04:47.616,476.258
44,18 Jun 2022 20:35:34.196,18 Jun 2022 20:43:16.723,462.526
45,18 Jun 2022 22:13:14.862,18 Jun 2022 22:15:29.265,134.402
46,19 Jun 2022 08:53:34.117,19 Jun 2022 09:01:30.692,476.575
47,19 Jun 2022 20:32:17.430,19 Jun 2022 20:39:59.251,461.821
48,19 Jun 2022 22:09:54.104,19 Jun 2022 22:12:16.429,142.326
49,20 Jun 2022 08:50:16.884,20 Jun 2022 08:58:13.762,476.878
50,20 Jun 2022 20:29:00.669,20 Jun 2022 20:36:41.773,461.104
51,20 Jun 2022 22:06:33.569,20 Jun 2022 22:09:03.365,149.795
52,21 Jun 2022 08:46:59.659,21 Jun 2022 08:54:56.828,477.169
53,21 Jun 2022 20:25:43.915,21 Jun 2022 20:33:24.286,460.372
54,21 Jun 2022 22:03:13.230,21 Jun 2022 22:05:50.103,156.874
55,22 Jun 2022 08:43:42.441,22 Jun 2022 08:51:39.888,477.447
