"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 05:56:04.185,331.777,-25.219,1829.530659
1 Jun 2022 05:57:04.000,323.985,-28.136,1472.758631
1 Jun 2022 05:58:04.000,310.529,-33.015,1168.101566
1 Jun 2022 05:59:04.000,286.838,-38.645,970.249945
1 Jun 2022 06:00:04.000,254.285,-39.424,949.604520
1 Jun 2022 06:01:04.000,228.105,-34.231,1116.163042
1 Jun 2022 06:02:04.000,212.920,-28.975,1404.340680
1 Jun 2022 06:03:04.000,204.212,-25.675,1754.336066
1 Jun 2022 06:03:19.872,202.545,-25.092,1852.832095
1 Jun 2022 07:32:13.427,40.914,-25.211,1831.006547
1 Jun 2022 07:33:13.000,52.371,-27.159,1566.624687
1 Jun 2022 07:34:13.000,68.420,-29.246,1384.153097
1 Jun 2022 07:35:13.000,88.195,-30.161,1321.650562
1 Jun 2022 07:36:13.000,107.756,-29.094,1395.385195
1 Jun 2022 07:37:13.000,123.378,-26.979,1586.019592
1 Jun 2022 07:38:11.694,134.320,-25.104,1850.579663
1 Jun 2022 17:31:41.545,66.303,-25.119,1847.699188
1 Jun 2022 17:32:41.000,79.668,-25.969,1711.142597
1 Jun 2022 17:33:41.000,94.819,-26.254,1672.607910
1 Jun 2022 17:34:41.000,109.684,-25.765,1740.739445
1 Jun 2022 17:35:19.481,118.204,-25.184,1835.833611
1 Jun 2022 19:05:21.394,350.478,-25.090,1853.118947
1 Jun 2022 19:06:21.000,346.631,-28.298,1458.767502
1 Jun 2022 19:07:21.000,339.269,-34.904,1090.044595
1 Jun 2022 19:08:21.000,321.280,-47.369,792.868856
1 Jun 2022 19:09:21.000,270.015,-58.087,672.180182
1 Jun 2022 19:10:21.000,221.832,-46.177,811.520479
1 Jun 2022 19:11:21.000,205.256,-34.207,1117.133539
1 Jun 2022 19:12:21.000,198.326,-27.952,1489.140277
1 Jun 2022 19:13:12.130,195.079,-25.230,1827.734287
2 Jun 2022 05:52:47.755,331.491,-25.219,1829.579314
2 Jun 2022 05:53:47.000,323.719,-28.087,1477.095050
2 Jun 2022 05:54:47.000,310.248,-32.899,1173.403683
2 Jun 2022 05:55:47.000,286.681,-38.421,976.426275
2 Jun 2022 05:56:47.000,254.451,-39.189,955.704059
2 Jun 2022 05:57:47.000,228.421,-34.107,1121.175222
2 Jun 2022 05:58:47.000,213.218,-28.925,1408.182394
2 Jun 2022 05:59:47.000,204.463,-25.656,1757.297221
2 Jun 2022 06:00:02.426,202.829,-25.092,1852.821290
2 Jun 2022 07:28:55.157,40.556,-25.212,1830.933092
2 Jun 2022 07:29:55.000,52.017,-27.189,1563.454185
2 Jun 2022 07:30:55.000,68.072,-29.319,1378.862566
2 Jun 2022 07:31:55.000,87.948,-30.276,1314.366730
2 Jun 2022 07:32:55.000,107.665,-29.209,1386.885336
2 Jun 2022 07:33:55.000,123.403,-27.060,1577.186159
2 Jun 2022 07:34:55.000,134.606,-25.115,1848.447819
2 Jun 2022 07:34:55.434,134.673,-25.104,1850.620544
2 Jun 2022 17:28:26.477,66.886,-25.120,1847.599470
2 Jun 2022 17:29:26.000,80.301,-25.942,1714.941705
2 Jun 2022 17:30:26.000,95.403,-26.192,1680.718834
2 Jun 2022 17:31:26.000,110.142,-25.687,1752.547060
2 Jun 2022 17:31:59.874,117.614,-25.184,1835.977450
2 Jun 2022 19:02:04.153,350.744,-25.090,1853.121816
2 Jun 2022 19:03:04.000,346.959,-28.322,1456.731968
2 Jun 2022 19:04:04.000,339.719,-34.976,1087.346268
2 Jun 2022 19:05:04.000,321.895,-47.616,789.178093
2 Jun 2022 19:06:04.000,269.957,-58.621,667.834536
2 Jun 2022 19:07:04.000,221.225,-46.401,807.923240
2 Jun 2022 19:08:04.000,204.819,-34.273,1114.515299
2 Jun 2022 19:09:04.000,198.007,-27.974,1487.167183
2 Jun 2022 19:09:55.365,194.810,-25.230,1827.707358
3 Jun 2022 05:49:31.331,331.204,-25.219,1829.628445
3 Jun 2022 05:50:31.000,323.287,-28.101,1475.876481
3 Jun 2022 05:51:31.000,309.675,-32.877,1174.404418
3 Jun 2022 05:52:31.000,286.038,-38.268,980.681936
3 Jun 2022 05:53:31.000,254.094,-38.907,963.164603
3 Jun 2022 05:54:31.000,228.402,-33.888,1130.186131
3 Jun 2022 05:55:31.000,213.326,-28.805,1417.460969
3 Jun 2022 05:56:31.000,204.601,-25.597,1766.402796
3 Jun 2022 05:56:44.975,203.114,-25.092,1852.810287
3 Jun 2022 07:25:36.902,40.200,-25.212,1830.859611
3 Jun 2022 07:26:36.000,51.435,-27.181,1564.263891
3 Jun 2022 07:27:36.000,67.415,-29.361,1375.842088
3 Jun 2022 07:28:36.000,87.351,-30.392,1307.088439
3 Jun 2022 07:29:36.000,107.267,-29.357,1376.137684
3 Jun 2022 07:30:36.000,123.204,-27.180,1564.415195
3 Jun 2022 07:31:36.000,134.535,-25.190,1834.789034
3 Jun 2022 07:31:39.160,135.024,-25.103,1850.650691
3 Jun 2022 17:25:11.470,67.483,-25.120,1847.496605
3 Jun 2022 17:26:11.000,80.930,-25.914,1718.927702
3 Jun 2022 17:27:11.000,95.980,-26.130,1688.989303
3 Jun 2022 17:28:11.000,110.594,-25.609,1764.464668
3 Jun 2022 17:28:40.205,117.012,-25.183,1836.131633
3 Jun 2022 18:58:46.915,351.010,-25.090,1853.124542
3 Jun 2022 18:59:46.000,347.368,-28.270,1461.195718
3 Jun 2022 19:00:46.000,340.341,-34.893,1090.462953
3 Jun 2022 19:01:46.000,323.006,-47.596,789.476460
3 Jun 2022 19:02:46.000,271.072,-59.182,663.406707
3 Jun 2022 19:03:46.000,221.056,-46.885,800.288403
3 Jun 2022 19:04:46.000,204.541,-34.485,1106.116846
3 Jun 2022 19:05:46.000,197.764,-28.068,1478.745555
3 Jun 2022 19:06:38.595,194.541,-25.230,1827.680866
4 Jun 2022 05:46:14.916,330.917,-25.219,1829.678053
4 Jun 2022 05:47:14.000,323.025,-28.051,1480.296337
4 Jun 2022 05:48:14.000,309.402,-32.761,1179.787873
4 Jun 2022 05:49:14.000,285.893,-38.049,986.915779
4 Jun 2022 05:50:14.000,254.259,-38.680,969.294881
4 Jun 2022 05:51:14.000,228.712,-33.767,1135.227440
4 Jun 2022 05:52:14.000,213.620,-28.756,1421.333196
4 Jun 2022 05:53:14.000,204.849,-25.578,1769.391118
4 Jun 2022 05:53:27.520,203.399,-25.092,1852.799085
4 Jun 2022 07:22:18.661,39.846,-25.212,1830.787899
4 Jun 2022 07:23:18.000,51.077,-27.210,1561.244277
4 Jun 2022 07:24:18.000,67.060,-29.433,1370.688204
4 Jun 2022 07:25:18.000,87.094,-30.509,1299.891017
4 Jun 2022 07:26:18.000,107.169,-29.476,1367.667725
4 Jun 2022 07:27:18.000,123.228,-27.265,1555.580993
4 Jun 2022 07:28:18.000,134.620,-25.239,1826.127017
4 Jun 2022 07:28:22.877,135.373,-25.103,1850.686543
4 Jun 2022 17:21:56.528,68.092,-25.121,1847.390298
4 Jun 2022 17:22:56.000,81.557,-25.885,1723.099335
4 Jun 2022 17:23:56.000,96.551,-26.068,1697.416958
4 Jun 2022 17:24:56.000,111.039,-25.533,1776.489962
4 Jun 2022 17:25:20.468,116.397,-25.182,1836.285793
4 Jun 2022 18:55:29.682,351.276,-25.090,1853.127126
4 Jun 2022 18:56:29.000,347.696,-28.293,1459.230700
4 Jun 2022 18:57:29.000,340.794,-34.962,1087.864491
4 Jun 2022 18:58:29.000,323.641,-47.837,785.918110
4 Jun 2022 18:59:29.000,271.032,-59.733,659.193056
4 Jun 2022 19:00:29.000,220.424,-47.110,796.807533
4 Jun 2022 19:01:29.000,204.095,-34.549,1103.599806
4 Jun 2022 19:02:29.000,197.441,-28.090,1476.858314
4 Jun 2022 19:03:21.818,194.273,-25.230,1827.654813
5 Jun 2022 05:42:58.508,330.629,-25.218,1829.728140
5 Jun 2022 05:43:58.000,322.593,-28.063,1479.204355
5 Jun 2022 05:44:58.000,308.834,-32.737,1180.932038
5 Jun 2022 05:45:58.000,285.267,-37.897,991.295376
5 Jun 2022 05:46:58.000,253.914,-38.407,976.813948
5 Jun 2022 05:47:58.000,228.692,-33.555,1144.257909
5 Jun 2022 05:48:58.000,213.724,-28.639,1430.623539
5 Jun 2022 05:49:58.000,204.984,-25.521,1778.506832
5 Jun 2022 05:50:10.059,203.684,-25.092,1852.787681
5 Jun 2022 07:19:00.430,39.493,-25.213,1830.730272
5 Jun 2022 07:20:00.000,50.718,-27.238,1558.284349
5 Jun 2022 07:21:00.000,66.700,-29.505,1365.585586
5 Jun 2022 07:22:00.000,86.832,-30.627,1292.723578
5 Jun 2022 07:23:00.000,107.070,-29.597,1359.206884
5 Jun 2022 07:24:00.000,123.252,-27.351,1546.746322
5 Jun 2022 07:25:00.000,134.705,-25.288,1817.462311
5 Jun 2022 07:25:06.582,135.720,-25.103,1850.721655
5 Jun 2022 17:18:41.655,68.717,-25.122,1847.280284
5 Jun 2022 17:19:41.000,82.179,-25.855,1727.455248
5 Jun 2022 17:20:41.000,97.116,-26.006,1705.999402
5 Jun 2022 17:21:41.000,111.477,-25.459,1788.620653
5 Jun 2022 17:22:00.658,115.766,-25.181,1836.446388
5 Jun 2022 18:52:12.452,351.541,-25.090,1853.129567
5 Jun 2022 18:53:12.000,348.025,-28.316,1457.297090
5 Jun 2022 18:54:12.000,341.249,-35.031,1085.309782
5 Jun 2022 18:55:12.000,324.288,-48.077,782.418485
5 Jun 2022 18:56:12.000,270.988,-60.290,655.048067
5 Jun 2022 18:57:12.000,219.781,-47.335,793.395315
5 Jun 2022 18:58:12.000,203.646,-34.613,1101.140720
5 Jun 2022 18:59:12.000,197.117,-28.111,1475.018435
5 Jun 2022 19:00:05.035,194.004,-25.230,1827.629198
6 Jun 2022 05:39:42.108,330.341,-25.218,1829.778709
6 Jun 2022 05:40:42.000,322.162,-28.075,1478.190225
6 Jun 2022 05:41:42.000,308.268,-32.710,1182.170337
6 Jun 2022 05:42:42.000,284.649,-37.743,995.764638
6 Jun 2022 05:43:42.000,253.577,-38.138,984.381141
6 Jun 2022 05:44:42.000,228.672,-33.346,1153.303460
6 Jun 2022 05:45:42.000,213.827,-28.524,1439.918933
6 Jun 2022 05:46:42.000,205.117,-25.465,1787.625204
6 Jun 2022 05:46:52.592,203.971,-25.092,1852.764531
6 Jun 2022 07:15:42.216,39.142,-25.213,1830.661192
6 Jun 2022 07:16:42.000,50.356,-27.266,1555.384536
6 Jun 2022 07:17:42.000,66.337,-29.578,1360.534888
6 Jun 2022 07:18:42.000,86.567,-30.747,1285.586684
6 Jun 2022 07:19:42.000,106.968,-29.720,1350.755369
6 Jun 2022 07:20:42.000,123.276,-27.439,1537.911186
6 Jun 2022 07:21:42.000,134.790,-25.338,1808.794872
6 Jun 2022 07:21:50.277,136.066,-25.103,1850.756039
6 Jun 2022 17:15:26.858,69.357,-25.122,1847.166266
6 Jun 2022 17:16:26.000,82.799,-25.824,1731.993995
6 Jun 2022 17:17:26.000,97.675,-25.944,1714.734219
6 Jun 2022 17:18:26.000,111.909,-25.385,1800.854488
6 Jun 2022 17:18:40.771,115.120,-25.180,1836.612170
6 Jun 2022 18:48:55.226,351.807,-25.090,1853.131866
6 Jun 2022 18:49:55.000,348.354,-28.338,1455.395107
6 Jun 2022 18:50:55.000,341.708,-35.098,1082.799251
6 Jun 2022 18:51:55.000,324.946,-48.317,778.978523
6 Jun 2022 18:52:55.000,270.940,-60.856,650.973205
6 Jun 2022 18:53:55.000,219.126,-47.557,790.052747
6 Jun 2022 18:54:55.000,203.195,-34.675,1098.740043
6 Jun 2022 18:55:55.000,196.791,-28.131,1473.226132
6 Jun 2022 18:56:48.245,193.736,-25.230,1827.604022
7 Jun 2022 05:36:25.716,330.052,-25.218,1829.829763
7 Jun 2022 05:37:25.000,321.905,-28.023,1482.741025
7 Jun 2022 05:38:25.000,308.007,-32.594,1187.680668
7 Jun 2022 05:39:25.000,284.522,-37.530,1002.084103
7 Jun 2022 05:40:25.000,253.744,-37.922,990.548120
7 Jun 2022 05:41:25.000,228.974,-33.231,1158.375668
7 Jun 2022 05:42:25.000,214.114,-28.477,1443.826250
7 Jun 2022 05:43:25.000,205.362,-25.446,1790.646438
7 Jun 2022 05:43:35.120,204.258,-25.092,1852.739789
7 Jun 2022 07:12:24.016,38.793,-25.213,1830.592953
7 Jun 2022 07:13:24.000,49.993,-27.294,1552.545204
7 Jun 2022 07:14:24.000,65.971,-29.650,1355.536728
7 Jun 2022 07:15:24.000,86.297,-30.868,1278.480887
7 Jun 2022 07:16:24.000,106.864,-29.845,1342.313395
7 Jun 2022 07:17:24.000,123.300,-27.528,1529.075612
7 Jun 2022 07:18:24.000,134.876,-25.389,1800.124691
7 Jun 2022 07:18:33.962,136.410,-25.103,1850.789701
7 Jun 2022 17:12:12.142,70.015,-25.123,1847.047901
7 Jun 2022 17:13:12.000,83.656,-25.799,1735.642843
7 Jun 2022 17:14:12.000,98.473,-25.877,1724.289617
7 Jun 2022 17:15:12.000,112.553,-25.299,1815.489364
7 Jun 2022 17:15:20.800,114.457,-25.179,1836.783922
7 Jun 2022 18:45:38.004,352.072,-25.090,1853.134023
7 Jun 2022 18:46:38.000,348.685,-28.360,1453.524895
7 Jun 2022 18:47:38.000,342.168,-35.165,1080.333254
7 Jun 2022 18:48:38.000,325.616,-48.556,775.599114
7 Jun 2022 18:49:38.000,270.889,-61.428,646.969946
7 Jun 2022 18:50:38.000,218.459,-47.778,786.780868
7 Jun 2022 18:51:38.000,202.740,-34.736,1096.398287
7 Jun 2022 18:52:38.000,196.465,-28.151,1471.481690
7 Jun 2022 18:53:31.450,193.468,-25.230,1827.579213
8 Jun 2022 05:33:09.331,329.762,-25.217,1829.881304
