"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 05:56:04.185,1 Jun 2022 06:03:19.872,435.686
2,1 Jun 2022 07:32:13.427,1 Jun 2022 07:38:11.694,358.267
3,1 Jun 2022 17:31:41.545,1 Jun 2022 17:35:19.481,217.935
4,1 Jun 2022 19:05:21.394,1 Jun 2022 19:13:12.130,470.736
5,2 Jun 2022 05:52:47.755,2 Jun 2022 06:00:02.426,434.671
6,2 Jun 2022 07:28:55.157,2 Jun 2022 07:34:55.434,360.276
7,2 Jun 2022 17:28:26.477,2 Jun 2022 17:31:59.874,213.396
8,2 Jun 2022 19:02:04.153,2 Jun 2022 19:09:55.365,471.213
9,3 Jun 2022 05:49:31.331,3 Jun 2022 05:56:44.975,433.644
10,3 Jun 2022 07:25:36.902,3 Jun 2022 07:31:39.160,362.258
11,3 Jun 2022 17:25:11.470,3 Jun 2022 17:28:40.205,208.735
12,3 Jun 2022 18:58:46.915,3 Jun 2022 19:06:38.595,471.680
13,4 Jun 2022 05:46:14.916,4 Jun 2022 05:53:27.520,432.604
14,4 Jun 2022 07:22:18.661,4 Jun 2022 07:28:22.877,364.216
15,4 Jun 2022 17:21:56.528,4 Jun 2022 17:25:20.468,203.940
16,4 Jun 2022 18:55:29.682,4 Jun 2022 19:03:21.818,472.136
17,5 Jun 2022 05:42:58.508,5 Jun 2022 05:50:10.059,431.551
18,5 Jun 2022 07:19:00.430,5 Jun 2022 07:25:06.582,366.152
19,5 Jun 2022 17:18:41.655,5 Jun 2022 17:22:00.658,199.003
20,5 Jun 2022 18:52:12.452,5 Jun 2022 19:00:05.035,472.583
21,6 Jun 2022 05:39:42.108,6 Jun 2022 05:46:52.592,430.484
22,6 Jun 2022 07:15:42.216,6 Jun 2022 07:21:50.277,368.061
23,6 Jun 2022 17:15:26.858,6 Jun 2022 17:18:40.771,193.913
24,6 Jun 2022 18:48:55.226,6 Jun 2022 18:56:48.245,473.019
25,7 Jun 2022 05:36:25.716,7 Jun 2022 05:43:35.120,429.404
26,7 Jun 2022 07:12:24.016,7 Jun 2022 07:18:33.962,369.946
27,7 Jun 2022 17:12:12.142,7 Jun 2022 17:15:20.800,188.658
28,7 Jun 2022 18:45:38.004,7 Jun 2022 18:53:31.450,473.446
29,8 Jun 2022 05:33:09.331,8 Jun 2022 05:40:17.643,428.312
30,8 Jun 2022 07:09:05.828,8 Jun 2022 07:15:17.636,371.808
31,8 Jun 2022 17:08:57.514,8 Jun 2022 17:12:00.738,183.223
32,8 Jun 2022 18:42:20.785,8 Jun 2022 18:50:14.647,473.862
33,9 Jun 2022 05:29:52.955,9 Jun 2022 05:37:00.167,427.212
34,9 Jun 2022 07:05:47.653,9 Jun 2022 07:12:01.300,373.647
35,9 Jun 2022 17:05:42.984,9 Jun 2022 17:08:40.576,177.592
36,9 Jun 2022 18:39:03.570,9 Jun 2022 18:46:57.839,474.268
37,10 Jun 2022 05:26:36.586,10 Jun 2022 05:33:42.680,426.094
38,10 Jun 2022 07:02:29.492,10 Jun 2022 07:08:44.957,375.465
39,10 Jun 2022 17:02:28.559,10 Jun 2022 17:05:20.303,171.744
40,10 Jun 2022 18:35:46.359,10 Jun 2022 18:43:41.024,474.665
41,11 Jun 2022 05:23:20.225,11 Jun 2022 05:30:25.188,424.962
42,11 Jun 2022 06:59:11.342,11 Jun 2022 07:05:28.602,377.260
43,11 Jun 2022 16:59:14.252,11 Jun 2022 17:01:59.909,165.657
44,11 Jun 2022 18:32:29.152,11 Jun 2022 18:40:24.203,475.051
45,12 Jun 2022 05:20:03.873,12 Jun 2022 05:27:07.689,423.816
46,12 Jun 2022 06:55:53.205,12 Jun 2022 07:02:12.237,379.032
47,12 Jun 2022 16:56:00.077,12 Jun 2022 16:58:39.381,159.304
48,12 Jun 2022 18:29:11.948,12 Jun 2022 18:37:07.377,475.429
49,13 Jun 2022 05:16:47.528,13 Jun 2022 05:23:50.188,422.660
50,13 Jun 2022 06:52:35.080,13 Jun 2022 06:58:55.862,380.782
51,13 Jun 2022 16:52:46.050,13 Jun 2022 16:55:18.701,152.651
52,13 Jun 2022 18:25:54.747,13 Jun 2022 18:33:50.542,475.794
53,14 Jun 2022 05:13:31.191,14 Jun 2022 05:20:32.679,421.488
54,14 Jun 2022 06:49:16.968,14 Jun 2022 06:55:39.478,382.511
55,14 Jun 2022 16:49:32.192,14 Jun 2022 16:51:57.850,145.658
56,14 Jun 2022 18:22:37.550,14 Jun 2022 18:30:33.703,476.153
57,15 Jun 2022 05:10:14.862,15 Jun 2022 05:17:15.168,420.306
58,15 Jun 2022 06:45:58.867,15 Jun 2022 06:52:23.084,384.218
59,15 Jun 2022 16:46:18.529,15 Jun 2022 16:48:36.800,138.270
60,15 Jun 2022 18:19:20.357,15 Jun 2022 18:27:16.857,476.500
61,16 Jun 2022 05:06:58.541,16 Jun 2022 05:13:57.649,419.107
62,16 Jun 2022 06:42:40.778,16 Jun 2022 06:49:06.683,385.905
63,16 Jun 2022 16:43:05.095,16 Jun 2022 16:45:15.515,130.419
64,16 Jun 2022 18:16:03.167,16 Jun 2022 18:24:00.006,476.839
65,17 Jun 2022 05:03:42.229,17 Jun 2022 05:10:40.125,417.896
66,17 Jun 2022 06:39:22.701,17 Jun 2022 06:45:50.273,387.572
67,17 Jun 2022 16:39:51.931,17 Jun 2022 16:41:53.961,122.030
68,17 Jun 2022 18:12:45.981,17 Jun 2022 18:20:43.143,477.162
69,18 Jun 2022 05:00:25.925,18 Jun 2022 05:07:22.595,416.671
70,18 Jun 2022 06:36:04.636,18 Jun 2022 06:42:33.855,389.220
71,18 Jun 2022 16:36:39.101,18 Jun 2022 16:38:32.066,112.966
72,18 Jun 2022 18:09:28.799,18 Jun 2022 18:17:26.279,477.480
73,19 Jun 2022 04:57:09.629,19 Jun 2022 05:04:05.061,415.432
74,19 Jun 2022 06:32:46.582,19 Jun 2022 06:39:17.428,390.846
75,19 Jun 2022 16:33:26.694,19 Jun 2022 16:35:09.751,103.057
76,19 Jun 2022 18:06:11.620,19 Jun 2022 18:14:09.410,477.789
77,20 Jun 2022 04:53:53.342,20 Jun 2022 05:00:47.518,414.176
78,20 Jun 2022 06:29:28.539,20 Jun 2022 06:36:00.991,392.452
