"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 05:56:26.494,340.613,-25.237,1829.617865
1 Jun 2022 05:57:26.000,335.319,-28.463,1446.842819
1 Jun 2022 05:58:26.000,325.350,-34.742,1097.418601
1 Jun 2022 05:59:26.000,303.288,-44.874,834.429850
1 Jun 2022 06:00:26.000,258.792,-50.077,755.927347
1 Jun 2022 06:01:26.000,221.732,-41.049,911.228142
1 Jun 2022 06:02:26.000,205.286,-32.101,1213.205898
1 Jun 2022 06:03:26.000,197.401,-27.064,1578.988440
1 Jun 2022 06:04:08.264,194.045,-25.102,1854.257258
1 Jun 2022 07:33:21.372,48.494,-25.211,1834.123627
1 Jun 2022 07:34:21.000,60.971,-26.747,1614.495557
1 Jun 2022 07:35:21.000,77.025,-28.007,1486.197651
1 Jun 2022 07:36:21.000,94.897,-28.126,1475.640475
1 Jun 2022 07:37:21.000,111.422,-27.009,1585.028364
1 Jun 2022 07:38:21.000,124.555,-25.456,1791.966937
1 Jun 2022 07:38:35.017,127.102,-25.119,1851.083595
1 Jun 2022 17:30:13.209,52.491,-25.118,1851.137874
1 Jun 2022 17:31:13.000,64.670,-26.666,1623.915000
1 Jun 2022 17:32:13.000,80.495,-28.012,1485.761620
1 Jun 2022 17:33:13.000,98.433,-28.258,1464.140328
1 Jun 2022 17:34:13.000,115.304,-27.203,1564.172799
1 Jun 2022 17:35:13.000,128.839,-25.624,1765.102415
1 Jun 2022 17:35:29.515,131.919,-25.212,1834.035934
1 Jun 2022 19:04:41.275,345.680,-25.102,1854.253513
1 Jun 2022 19:05:41.000,340.434,-28.198,1469.370873
1 Jun 2022 19:06:41.000,330.720,-34.217,1118.007964
1 Jun 2022 19:07:41.000,309.589,-44.042,849.507220
1 Jun 2022 19:08:41.000,266.529,-49.817,759.296090
1 Jun 2022 19:09:41.000,228.547,-41.420,902.873228
1 Jun 2022 19:10:41.000,211.306,-32.397,1198.564894
1 Jun 2022 19:11:41.000,203.080,-27.230,1561.386230
1 Jun 2022 19:12:22.377,199.664,-25.236,1829.653591
2 Jun 2022 05:53:09.826,340.353,-25.237,1829.651689
2 Jun 2022 05:54:09.000,335.021,-28.430,1449.605931
2 Jun 2022 05:55:09.000,324.968,-34.649,1100.991970
2 Jun 2022 05:56:09.000,302.894,-44.615,839.038564
2 Jun 2022 05:57:09.000,258.937,-49.693,760.922533
2 Jun 2022 05:58:09.000,222.169,-40.872,915.308042
2 Jun 2022 05:59:09.000,205.645,-32.041,1216.227521
2 Jun 2022 06:00:09.000,197.680,-27.043,1581.281230
2 Jun 2022 06:00:50.971,194.302,-25.102,1854.257221
2 Jun 2022 07:30:02.815,48.107,-25.212,1834.040822
2 Jun 2022 07:31:02.000,60.432,-26.757,1613.339054
2 Jun 2022 07:32:02.000,76.472,-28.061,1481.416004
2 Jun 2022 07:33:02.000,94.437,-28.222,1467.306594
2 Jun 2022 07:34:02.000,111.121,-27.110,1574.045810
2 Jun 2022 07:35:02.000,124.395,-25.533,1779.464909
2 Jun 2022 07:35:18.954,127.484,-25.118,1851.134979
2 Jun 2022 17:26:57.145,52.872,-25.119,1851.085023
2 Jun 2022 17:27:57.000,65.115,-26.648,1626.049168
2 Jun 2022 17:28:57.000,80.940,-27.956,1490.820976
2 Jun 2022 17:29:57.000,98.788,-28.168,1472.002983
2 Jun 2022 17:30:57.000,115.518,-27.110,1574.045557
2 Jun 2022 17:31:57.000,128.933,-25.555,1776.036540
2 Jun 2022 17:32:10.960,131.532,-25.212,1834.120617
2 Jun 2022 19:01:23.981,345.938,-25.102,1854.258194
2 Jun 2022 19:02:23.000,340.846,-28.155,1473.136917
2 Jun 2022 19:03:23.000,331.331,-34.166,1120.091505
2 Jun 2022 19:04:23.000,310.533,-44.100,848.433200
2 Jun 2022 19:05:23.000,267.284,-50.245,753.778799
2 Jun 2022 19:06:23.000,228.556,-41.797,894.595411
2 Jun 2022 19:07:23.000,211.139,-32.582,1189.610168
2 Jun 2022 19:08:23.000,202.901,-27.316,1552.446856
2 Jun 2022 19:09:05.709,199.404,-25.237,1829.613937
3 Jun 2022 05:49:53.164,340.093,-25.236,1829.685917
3 Jun 2022 05:50:53.000,334.606,-28.471,1446.225625
3 Jun 2022 05:51:53.000,324.352,-34.692,1099.346147
3 Jun 2022 05:52:53.000,301.963,-44.529,840.587091
3 Jun 2022 05:53:53.000,258.286,-49.258,766.718047
3 Jun 2022 05:54:53.000,222.197,-40.521,923.525861
3 Jun 2022 05:55:53.000,205.820,-31.870,1224.972815
3 Jun 2022 05:56:53.000,197.861,-26.964,1589.966026
3 Jun 2022 05:57:33.674,194.560,-25.102,1854.256663
3 Jun 2022 07:26:44.282,47.723,-25.213,1833.937282
3 Jun 2022 07:27:44.000,60.130,-26.793,1609.216051
3 Jun 2022 07:28:44.000,76.206,-28.128,1475.446520
3 Jun 2022 07:29:44.000,94.271,-28.309,1459.828396
3 Jun 2022 07:30:44.000,111.070,-27.188,1565.770693
3 Jun 2022 07:31:44.000,124.425,-25.586,1771.040963
3 Jun 2022 07:32:02.870,127.862,-25.118,1851.163126
3 Jun 2022 17:23:41.098,53.258,-25.119,1851.030322
3 Jun 2022 17:24:41.000,65.559,-26.630,1628.266055
3 Jun 2022 17:25:41.000,81.382,-27.900,1495.957854
3 Jun 2022 17:26:41.000,99.139,-28.078,1479.920717
3 Jun 2022 17:27:41.000,115.729,-27.018,1583.948032
3 Jun 2022 17:28:41.000,129.025,-25.487,1786.985010
3 Jun 2022 17:28:52.386,131.142,-25.211,1834.206315
3 Jun 2022 18:58:06.690,346.195,-25.102,1854.262749
3 Jun 2022 18:59:06.000,341.145,-28.183,1470.694364
3 Jun 2022 19:00:06.000,331.720,-34.247,1116.836276
3 Jun 2022 19:01:06.000,310.966,-44.337,844.067537
3 Jun 2022 19:02:06.000,267.221,-50.641,748.781118
3 Jun 2022 19:03:06.000,228.131,-41.996,890.315044
3 Jun 2022 19:04:06.000,210.779,-32.651,1186.336520
3 Jun 2022 19:05:06.000,202.622,-27.341,1549.894013
3 Jun 2022 19:05:49.038,199.145,-25.237,1829.593611
4 Jun 2022 05:46:36.509,339.833,-25.236,1829.720552
4 Jun 2022 05:47:36.000,334.310,-28.437,1449.080970
4 Jun 2022 05:48:36.000,323.976,-34.597,1103.026239
4 Jun 2022 05:49:36.000,301.589,-44.270,845.300352
4 Jun 2022 05:50:36.000,258.435,-48.887,771.783862
