"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 05:56:26.494,1 Jun 2022 06:04:08.264,461.771
2,1 Jun 2022 07:33:21.372,1 Jun 2022 07:38:35.017,313.646
3,1 Jun 2022 17:30:13.209,1 Jun 2022 17:35:29.515,316.306
4,1 Jun 2022 19:04:41.275,1 Jun 2022 19:12:22.377,461.102
5,2 Jun 2022 05:53:09.826,2 Jun 2022 06:00:50.971,461.145
6,2 Jun 2022 07:30:02.815,2 Jun 2022 07:35:18.954,316.139
7,2 Jun 2022 17:26:57.145,2 Jun 2022 17:32:10.960,313.815
8,2 Jun 2022 19:01:23.981,2 Jun 2022 19:09:05.709,461.728
9,3 Jun 2022 05:49:53.164,3 Jun 2022 05:57:33.674,460.510
10,3 Jun 2022 07:26:44.282,3 Jun 2022 07:32:02.870,318.588
11,3 Jun 2022 17:23:41.098,3 Jun 2022 17:28:52.386,311.288
12,3 Jun 2022 18:58:06.690,3 Jun 2022 19:05:49.038,462.347
13,4 Jun 2022 05:46:36.509,4 Jun 2022 05:54:16.374,459.865
14,4 Jun 2022 07:23:25.763,4 Jun 2022 07:28:46.775,321.012
15,4 Jun 2022 17:20:25.065,4 Jun 2022 17:25:33.792,308.728
16,4 Jun 2022 18:54:49.403,4 Jun 2022 19:02:32.358,462.954
17,5 Jun 2022 05:43:19.860,5 Jun 2022 05:50:59.071,459.211
18,5 Jun 2022 07:20:07.262,5 Jun 2022 07:25:30.665,323.403
19,5 Jun 2022 17:17:09.050,5 Jun 2022 17:22:15.184,306.134
20,5 Jun 2022 18:51:32.120,5 Jun 2022 18:59:15.672,463.552
21,6 Jun 2022 05:40:03.217,6 Jun 2022 05:47:41.762,458.545
22,6 Jun 2022 07:16:48.779,6 Jun 2022 07:22:14.540,325.761
23,6 Jun 2022 17:13:53.054,6 Jun 2022 17:18:56.551,303.498
24,6 Jun 2022 18:48:14.840,6 Jun 2022 18:55:58.980,464.140
25,7 Jun 2022 05:36:46.581,7 Jun 2022 05:44:24.450,457.869
26,7 Jun 2022 07:13:30.314,7 Jun 2022 07:18:58.401,328.088
27,7 Jun 2022 17:10:37.072,7 Jun 2022 17:15:37.898,300.826
28,7 Jun 2022 18:44:57.564,7 Jun 2022 18:52:42.284,464.721
29,8 Jun 2022 05:33:29.950,8 Jun 2022 05:41:07.134,457.184
30,8 Jun 2022 07:10:11.865,8 Jun 2022 07:15:42.249,330.384
31,8 Jun 2022 17:07:21.111,8 Jun 2022 17:12:19.223,298.112
32,8 Jun 2022 18:41:40.291,8 Jun 2022 18:49:25.581,465.290
33,9 Jun 2022 05:30:13.326,9 Jun 2022 05:37:49.816,456.490
34,9 Jun 2022 07:06:53.433,9 Jun 2022 07:12:26.082,332.649
35,9 Jun 2022 17:04:05.170,9 Jun 2022 17:09:00.526,295.357
36,9 Jun 2022 18:38:23.021,9 Jun 2022 18:46:08.871,465.850
37,10 Jun 2022 05:26:56.709,10 Jun 2022 05:34:32.494,455.785
38,10 Jun 2022 07:03:35.017,10 Jun 2022 07:09:09.903,334.886
39,10 Jun 2022 17:00:49.247,10 Jun 2022 17:05:41.807,292.560
40,10 Jun 2022 18:35:05.755,10 Jun 2022 18:42:52.155,466.400
41,11 Jun 2022 05:23:40.097,11 Jun 2022 05:31:15.168,455.071
42,11 Jun 2022 07:00:16.618,11 Jun 2022 07:05:53.711,337.093
43,11 Jun 2022 16:57:33.344,11 Jun 2022 17:02:23.063,289.720
44,11 Jun 2022 18:31:48.492,11 Jun 2022 18:39:35.433,466.941
45,12 Jun 2022 05:20:23.492,12 Jun 2022 05:27:57.838,454.346
46,12 Jun 2022 06:56:58.233,12 Jun 2022 07:02:37.506,339.272
47,12 Jun 2022 16:54:17.461,12 Jun 2022 16:59:04.296,286.835
48,12 Jun 2022 18:28:31.233,12 Jun 2022 18:36:18.705,467.472
49,13 Jun 2022 05:17:06.893,13 Jun 2022 05:24:40.505,453.612
50,13 Jun 2022 06:53:39.860,13 Jun 2022 06:59:21.288,341.428
