"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 11:27:12.121,0.057,-25.136,1817.194526
1 Jun 2022 11:28:12.000,358.989,-28.680,1411.250390
1 Jun 2022 11:29:12.000,356.851,-36.433,1026.456078
1 Jun 2022 11:30:12.000,350.410,-54.004,703.642178
1 Jun 2022 11:31:12.000,263.377,-80.509,564.260083
1 Jun 2022 11:32:12.000,195.122,-52.121,723.898367
1 Jun 2022 11:33:12.000,189.368,-35.611,1054.010987
1 Jun 2022 11:34:12.000,187.383,-28.312,1440.957594
1 Jun 2022 11:35:10.929,186.405,-25.005,1840.845351
1 Jun 2022 23:08:36.182,337.350,-25.009,1840.172891
1 Jun 2022 23:09:36.000,331.392,-28.037,1464.352872
1 Jun 2022 23:10:36.000,320.562,-33.702,1126.706732
1 Jun 2022 23:11:36.000,298.432,-42.168,877.603360
1 Jun 2022 23:12:36.000,259.043,-46.089,805.640782
1 Jun 2022 23:13:36.000,225.171,-38.975,952.364110
1 Jun 2022 23:14:36.000,208.194,-31.275,1242.286353
1 Jun 2022 23:15:36.000,199.559,-26.688,1598.594359
1 Jun 2022 23:16:10.395,196.403,-25.133,1817.638522
2 Jun 2022 00:46:53.963,80.204,-25.045,1833.545415
2 Jun 2022 00:47:20.616,86.490,-25.108,1822.073358
2 Jun 2022 00:47:47.268,92.783,-25.059,1830.974969
2 Jun 2022 11:23:55.014,0.379,-25.136,1817.198006
2 Jun 2022 11:24:55.000,359.414,-28.692,1410.363854
2 Jun 2022 11:25:55.000,357.486,-36.468,1025.341083
2 Jun 2022 11:26:55.000,351.654,-54.147,702.195669
2 Jun 2022 11:27:55.000,262.065,-81.412,562.719899
2 Jun 2022 11:28:55.000,193.943,-52.206,722.936591
2 Jun 2022 11:29:55.000,188.750,-35.625,1053.537246
2 Jun 2022 11:30:55.000,186.965,-28.314,1440.765208
2 Jun 2022 11:31:53.932,186.087,-25.005,1840.850928
2 Jun 2022 23:05:19.519,337.013,-25.009,1840.152314
2 Jun 2022 23:06:19.000,331.004,-28.002,1467.396143
2 Jun 2022 23:07:19.000,320.077,-33.598,1131.058477
2 Jun 2022 23:08:19.000,297.949,-41.881,883.645032
2 Jun 2022 23:09:19.000,259.092,-45.660,812.666260
2 Jun 2022 23:10:19.000,225.602,-38.738,958.649529
2 Jun 2022 23:11:19.000,208.599,-31.183,1247.334779
2 Jun 2022 23:12:19.000,199.891,-26.653,1602.668593
2 Jun 2022 23:12:52.834,196.745,-25.133,1817.661356
3 Jun 2022 00:43:27.502,77.910,-25.042,1833.981418
3 Jun 2022 00:44:27.000,91.999,-25.120,1819.912206
3 Jun 2022 00:44:40.111,95.078,-25.061,1830.475507
