"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 11:27:12.121,1 Jun 2022 11:35:10.929,478.807
2,1 Jun 2022 23:08:36.182,1 Jun 2022 23:16:10.395,454.214
3,2 Jun 2022 00:46:53.963,2 Jun 2022 00:47:47.268,53.304
4,2 Jun 2022 11:23:55.014,2 Jun 2022 11:31:53.932,478.919
5,2 Jun 2022 23:05:19.519,2 Jun 2022 23:12:52.834,453.315
6,3 Jun 2022 00:43:27.502,3 Jun 2022 00:44:40.111,72.609
7,3 Jun 2022 11:20:37.914,3 Jun 2022 11:28:36.930,479.016
8,3 Jun 2022 23:02:02.863,3 Jun 2022 23:09:35.263,452.399
9,4 Jun 2022 00:40:03.151,4 Jun 2022 00:41:30.848,87.698
10,4 Jun 2022 11:17:20.823,4 Jun 2022 11:25:19.922,479.098
11,4 Jun 2022 22:58:46.215,4 Jun 2022 23:06:17.681,451.466
12,5 Jun 2022 00:36:39.949,5 Jun 2022 00:38:20.430,100.481
13,5 Jun 2022 11:14:03.741,5 Jun 2022 11:22:02.907,479.167
14,5 Jun 2022 22:55:29.575,5 Jun 2022 23:03:00.090,450.515
15,6 Jun 2022 00:33:17.500,6 Jun 2022 00:35:09.255,111.755
16,6 Jun 2022 11:10:46.667,6 Jun 2022 11:18:45.887,479.221
17,6 Jun 2022 22:52:12.943,6 Jun 2022 22:59:42.489,449.546
18,7 Jun 2022 00:29:55.597,7 Jun 2022 00:31:57.532,121.935
19,7 Jun 2022 11:07:29.601,7 Jun 2022 11:15:28.862,479.261
20,7 Jun 2022 22:48:56.318,7 Jun 2022 22:56:24.877,448.559
21,8 Jun 2022 00:26:34.109,8 Jun 2022 00:28:45.387,131.278
22,8 Jun 2022 11:04:12.543,8 Jun 2022 11:12:11.830,479.287
23,8 Jun 2022 22:45:39.701,8 Jun 2022 22:53:07.256,447.555
24,9 Jun 2022 00:23:12.957,9 Jun 2022 00:25:32.914,139.957
25,9 Jun 2022 11:00:55.494,9 Jun 2022 11:08:54.792,479.299
26,9 Jun 2022 22:42:23.092,9 Jun 2022 22:49:49.624,446.532
27,10 Jun 2022 00:19:52.076,10 Jun 2022 00:22:20.159,148.083
28,10 Jun 2022 10:57:38.453,10 Jun 2022 11:05:37.749,479.296
29,10 Jun 2022 22:39:06.492,10 Jun 2022 22:46:31.983,445.491
30,11 Jun 2022 00:16:31.428,11 Jun 2022 00:19:07.170,155.743
31,11 Jun 2022 10:54:21.420,11 Jun 2022 11:02:20.700,479.280
32,11 Jun 2022 22:35:49.899,11 Jun 2022 22:43:14.330,444.432
33,12 Jun 2022 00:13:10.978,12 Jun 2022 00:15:53.980,163.003
34,12 Jun 2022 10:51:04.395,12 Jun 2022 10:59:03.644,479.249
35,12 Jun 2022 22:32:33.314,12 Jun 2022 22:39:56.665,443.351
36,13 Jun 2022 00:09:50.700,13 Jun 2022 00:12:40.615,169.914
37,13 Jun 2022 10:47:47.379,13 Jun 2022 10:55:46.583,479.204
38,13 Jun 2022 22:29:16.737,13 Jun 2022 22:36:38.991,442.254
39,14 Jun 2022 00:06:30.575,14 Jun 2022 00:09:27.094,176.519
40,14 Jun 2022 10:44:30.370,14 Jun 2022 10:52:29.516,479.145
41,14 Jun 2022 22:26:00.168,14 Jun 2022 22:33:21.307,441.139
42,15 Jun 2022 00:03:10.585,15 Jun 2022 00:06:13.434,182.849
43,15 Jun 2022 10:41:13.370,15 Jun 2022 10:49:12.442,479.072
44,15 Jun 2022 22:22:43.608,15 Jun 2022 22:30:03.612,440.004
45,15 Jun 2022 23:59:50.717,16 Jun 2022 00:02:59.649,188.932
46,16 Jun 2022 10:37:56.378,16 Jun 2022 10:45:55.363,478.985
47,16 Jun 2022 22:19:27.056,16 Jun 2022 22:26:45.906,438.850
48,16 Jun 2022 23:56:30.959,16 Jun 2022 23:59:45.751,194.793
49,17 Jun 2022 10:34:39.395,17 Jun 2022 10:42:38.278,478.884
50,17 Jun 2022 22:16:10.513,17 Jun 2022 22:23:28.187,437.674
51,17 Jun 2022 23:53:11.301,17 Jun 2022 23:56:31.751,200.450
52,18 Jun 2022 10:31:22.420,18 Jun 2022 10:39:21.188,478.768
53,18 Jun 2022 22:12:53.979,18 Jun 2022 22:20:10.463,436.484
54,18 Jun 2022 23:49:51.736,18 Jun 2022 23:53:17.657,205.921
55,19 Jun 2022 10:28:05.453,19 Jun 2022 10:36:04.091,478.639
56,19 Jun 2022 22:09:37.453,19 Jun 2022 22:16:52.724,435.270
57,19 Jun 2022 23:46:32.256,19 Jun 2022 23:50:03.479,211.223
58,20 Jun 2022 10:24:48.495,20 Jun 2022 10:32:46.989,478.495
59,20 Jun 2022 22:06:20.937,20 Jun 2022 22:13:34.974,434.037
60,20 Jun 2022 23:43:12.854,20 Jun 2022 23:46:49.213,216.359
61,21 Jun 2022 10:21:31.544,21 Jun 2022 10:29:29.881,478.337
62,21 Jun 2022 22:03:04.429,21 Jun 2022 22:10:17.212,432.783
63,21 Jun 2022 23:39:53.526,21 Jun 2022 23:43:34.878,221.352
64,22 Jun 2022 10:18:14.603,22 Jun 2022 10:26:12.768,478.165
65,22 Jun 2022 21:59:47.930,22 Jun 2022 22:06:59.439,431.509
66,22 Jun 2022 23:36:34.266,22 Jun 2022 23:40:20.467,226.201
67,23 Jun 2022 10:14:57.669,23 Jun 2022 10:22:55.648,477.979
68,23 Jun 2022 21:56:31.440,23 Jun 2022 22:03:41.655,430.215
69,23 Jun 2022 23:33:15.070,23 Jun 2022 23:37:05.991,230.922
70,24 Jun 2022 10:11:40.744,24 Jun 2022 10:19:38.520,477.776
71,24 Jun 2022 21:53:14.959,24 Jun 2022 22:00:23.857,428.898
72,24 Jun 2022 23:29:55.932,24 Jun 2022 23:33:51.453,235.520
73,25 Jun 2022 10:08:23.827,25 Jun 2022 10:16:21.388,477.562
74,25 Jun 2022 21:49:58.488,25 Jun 2022 21:57:06.047,427.559
75,25 Jun 2022 23:26:36.852,25 Jun 2022 23:30:36.851,239.999
76,26 Jun 2022 10:05:06.918,26 Jun 2022 10:13:04.251,477.333
77,26 Jun 2022 21:46:42.026,26 Jun 2022 21:53:48.232,426.206
78,26 Jun 2022 23:23:17.824,26 Jun 2022 23:27:22.197,244.374
79,27 Jun 2022 10:01:50.017,27 Jun 2022 10:09:47.108,477.090
80,27 Jun 2022 21:43:25.573,27 Jun 2022 21:50:30.399,424.826
81,27 Jun 2022 23:19:58.846,27 Jun 2022 23:24:07.490,248.645
82,28 Jun 2022 09:58:33.125,28 Jun 2022 10:06:29.958,476.833
83,28 Jun 2022 21:40:09.130,28 Jun 2022 21:47:12.554,423.424
84,28 Jun 2022 23:16:39.915,28 Jun 2022 23:20:52.734,252.818
85,29 Jun 2022 09:55:16.241,29 Jun 2022 10:03:12.803,476.562
86,29 Jun 2022 21:36:52.696,29 Jun 2022 21:43:54.696,422.000
87,29 Jun 2022 23:13:21.030,29 Jun 2022 23:17:37.929,256.898
88,30 Jun 2022 09:51:59.365,30 Jun 2022 09:59:55.643,476.278
89,30 Jun 2022 21:33:36.273,30 Jun 2022 21:40:36.829,420.556
90,30 Jun 2022 23:10:02.192,30 Jun 2022 23:14:23.078,260.886
91,1 Jul 2022 09:48:42.498,1 Jul 2022 09:56:38.476,475.978
92,1 Jul 2022 21:30:19.860,1 Jul 2022 21:37:18.948,419.088
93,1 Jul 2022 23:06:43.391,1 Jul 2022 23:11:08.185,264.794
94,2 Jul 2022 09:45:25.639,2 Jul 2022 09:53:21.302,475.663
95,2 Jul 2022 21:27:03.456,2 Jul 2022 21:34:01.057,417.600
96,2 Jul 2022 23:03:24.629,2 Jul 2022 23:07:53.252,268.623
97,3 Jul 2022 09:42:08.789,3 Jul 2022 09:50:04.123,475.334
98,3 Jul 2022 21:23:47.063,3 Jul 2022 21:30:43.151,416.087
99,3 Jul 2022 23:00:05.905,3 Jul 2022 23:04:38.272,272.367
100,4 Jul 2022 09:38:51.947,4 Jul 2022 09:46:46.938,474.991
101,4 Jul 2022 21:20:30.681,4 Jul 2022 21:27:25.232,414.552
102,4 Jul 2022 22:56:47.217,4 Jul 2022 23:01:23.258,276.041
103,5 Jul 2022 09:35:35.113,5 Jul 2022 09:43:29.746,474.633
104,5 Jul 2022 21:17:14.309,5 Jul 2022 21:24:07.302,412.993
105,5 Jul 2022 22:53:28.563,5 Jul 2022 22:58:08.206,279.644
106,6 Jul 2022 09:32:18.288,6 Jul 2022 09:40:12.549,474.261
107,6 Jul 2022 21:13:57.947,6 Jul 2022 21:20:49.359,411.411
108,6 Jul 2022 22:50:09.942,6 Jul 2022 22:54:53.119,283.177
109,7 Jul 2022 09:29:01.471,7 Jul 2022 09:36:55.343,473.872
110,7 Jul 2022 21:10:41.597,7 Jul 2022 21:17:31.402,409.805
111,7 Jul 2022 22:46:51.353,7 Jul 2022 22:51:37.998,286.645
112,8 Jul 2022 09:25:44.663,8 Jul 2022 09:33:38.132,473.469
113,8 Jul 2022 21:07:25.257,8 Jul 2022 21:14:13.432,408.175
114,8 Jul 2022 22:43:32.795,8 Jul 2022 22:48:22.843,290.048
115,9 Jul 2022 09:22:27.863,9 Jul 2022 09:30:20.921,473.058
116,9 Jul 2022 21:04:08.928,9 Jul 2022 21:10:55.446,406.518
117,9 Jul 2022 22:40:14.265,9 Jul 2022 22:45:07.656,293.391
118,10 Jul 2022 09:19:11.071,10 Jul 2022 09:27:03.697,472.626
